采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-11 19:20,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,5858,80,887,12,571,8,Selling
2026-07-11 19:24,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,5858,80,887,12,571,8,Selling
2026-07-11 19:29,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,5985,80,904,12,577,8,Selling
2026-07-12 07:10,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,11790,79,1923,13,1177,8,Selling
2026-07-12 07:15,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,11792,79,1923,13,1177,8,Selling
2026-07-12 07:20,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,11792,79,1924,13,1178,8,Selling
2026-07-12 07:25,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,11792,79,1924,13,1178,8,Selling
2026-07-12 07:30,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,11793,79,1924,13,1180,8,Selling
2026-07-12 07:35,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,11794,79,1924,13,1180,8,Selling
2026-07-12 09:06,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,11802,79,1931,13,1187,8,Selling
2026-07-12 14:29,周日208,瑞典超级联赛,2026-07-12,2026-07-12,哥德堡盖斯,埃尔夫斯堡,2040493,68810,73,15870,17,9013,10,Selling
