采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-11 19:20,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,13153,91,557,4,674,5,Selling
2026-07-11 19:24,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,13153,91,557,4,674,5,Selling
2026-07-11 19:29,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,13404,91,576,4,697,5,Selling
2026-07-12 07:10,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,21807,90,1004,4,1293,6,Selling
2026-07-12 07:15,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,21807,90,1004,4,1293,6,Selling
2026-07-12 07:20,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,21808,90,1004,4,1293,6,Selling
2026-07-12 07:25,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,21808,90,1005,4,1294,6,Selling
2026-07-12 07:30,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,21810,90,1005,4,1294,6,Selling
2026-07-12 07:35,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,21810,90,1005,4,1294,6,Selling
2026-07-12 09:06,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,21825,90,1009,4,1296,6,Selling
2026-07-12 14:29,周日210,挪威超级联赛,2026-07-12,2026-07-12,布兰,斯达,2040495,71293,89,4925,6,3876,5,Selling
