采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-11 19:20,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,64448,72,16618,18,9058,10,Selling
2026-07-11 19:24,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,64448,72,16618,18,9058,10,Selling
2026-07-11 19:29,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,64695,72,16650,18,9079,10,Selling
2026-07-12 07:10,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,82367,71,21611,19,12255,10,Selling
2026-07-12 07:15,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,82367,71,21612,19,12256,10,Selling
2026-07-12 07:20,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,82370,71,21613,19,12257,10,Selling
2026-07-12 07:25,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,82371,71,21613,19,12257,10,Selling
2026-07-12 07:30,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,82373,71,21614,19,12258,10,Selling
2026-07-12 07:35,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,82374,71,21615,19,12258,10,Selling
2026-07-12 09:06,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,82396,71,21632,19,12266,10,Selling
2026-07-12 14:29,周日201,韩国职业联赛,2026-07-12,2026-07-12,仁川联,安养FC,2040486,210404,58,99275,27,54675,15,Selling
