采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-11 19:20,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,11767,86,771,6,1086,8,Selling
2026-07-11 19:24,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,11767,86,771,6,1086,8,Selling
2026-07-11 19:29,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,12042,86,778,6,1111,8,Selling
2026-07-12 07:10,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,17870,86,1215,6,1668,8,Selling
2026-07-12 07:15,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,17870,86,1215,6,1668,8,Selling
2026-07-12 07:20,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,17871,86,1215,6,1668,8,Selling
2026-07-12 07:25,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,17871,86,1215,6,1668,8,Selling
2026-07-12 07:30,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,17871,86,1215,6,1668,8,Selling
2026-07-12 07:35,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,17871,86,1215,6,1668,8,Selling
2026-07-12 09:06,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,17879,86,1216,6,1671,8,Selling
2026-07-12 14:29,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,48188,81,5321,9,5869,10,Selling
2026-07-13 06:21,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,120424,78,16848,11,16310,11,Selling
2026-07-13 10:05,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,120458,78,16857,11,16322,11,Selling
2026-07-13 10:10,周一201,瑞典超级联赛,2026-07-13,2026-07-14,佐加顿斯,哈尔姆斯塔德,2040499,120458,78,16857,11,16322,11,Selling
