采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-11 19:20,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,689,5,763,5,12759,90,Selling
2026-07-11 19:24,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,689,5,763,5,12759,90,Selling
2026-07-11 19:29,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,696,5,775,5,12890,90,Selling
2026-07-12 07:10,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,1398,5,1583,6,23495,89,Selling
2026-07-12 07:15,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,1398,5,1583,6,23496,89,Selling
2026-07-12 07:20,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,1398,5,1583,6,23497,89,Selling
2026-07-12 07:25,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,1398,5,1583,6,23497,89,Selling
2026-07-12 07:30,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,1398,5,1583,6,23500,89,Selling
2026-07-12 07:35,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,1398,5,1583,6,23500,89,Selling
2026-07-12 09:06,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,1401,5,1586,6,23519,89,Selling
2026-07-12 14:29,周日207,挪威超级联赛,2026-07-12,2026-07-12,奥斯陆KFUM,博德闪耀,2040492,10693,8,12925,10,105298,82,Selling
