采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-18 11:05,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,806,90,56,6,32,4,Selling
2026-07-18 11:10,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,806,90,56,6,32,4,Selling
2026-07-18 11:15,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,2847,67,751,18,674,15,Selling
2026-07-18 11:20,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,2847,67,751,18,674,15,Selling
2026-07-18 11:25,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,6613,72,1327,15,1207,13,Selling
2026-07-18 11:30,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,6613,72,1327,15,1207,13,Selling
2026-07-18 11:35,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,6613,72,1327,15,1207,13,Selling
2026-07-18 11:40,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,8549,68,2079,17,1914,15,Selling
2026-07-18 11:45,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,11610,71,2424,15,2251,14,Selling
2026-07-18 11:50,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,11610,71,2424,15,2251,14,Selling
2026-07-18 11:55,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,14760,71,3142,15,2938,14,Selling
2026-07-18 12:00,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,14760,71,3142,15,2938,14,Selling
2026-07-18 12:05,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,16612,69,3892,16,3612,15,Selling
2026-07-18 12:10,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,16612,69,3892,16,3612,15,Selling
2026-07-18 12:15,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,19520,69,4470,16,4136,15,Selling
2026-07-18 12:20,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,19520,69,4470,16,4136,15,Selling
2026-07-18 12:25,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,21434,69,5056,16,4656,15,Selling
2026-07-18 12:30,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,21434,69,5056,16,4656,15,Selling
2026-07-18 12:35,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,21434,69,5056,16,4656,15,Selling
2026-07-18 12:40,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,24014,70,5419,16,4965,14,Selling
2026-07-18 12:45,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,26829,70,6096,16,5604,14,Selling
2026-07-18 12:50,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,26829,70,6096,16,5604,14,Selling
2026-07-18 12:55,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,28843,69,6742,16,6213,15,Selling
2026-07-18 13:00,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,28843,69,6742,16,6213,15,Selling
2026-07-18 13:05,周六206,芬兰超级联赛,2026-07-18,2026-07-18,赫尔辛基,瓦萨,2040551,31067,69,7292,16,6675,15,Selling
