采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-15 11:05,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,1773,37,1363,28,1721,35,Selling
2026-07-15 11:10,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,1773,37,1363,28,1721,35,Selling
2026-07-15 11:15,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,1773,37,1363,28,1721,35,Selling
2026-07-15 11:20,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,6288,34,5371,29,6802,37,Selling
2026-07-15 11:25,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,11512,28,13074,32,16054,40,Selling
2026-07-15 11:30,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,11512,28,13074,32,16054,40,Selling
2026-07-15 11:35,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,17174,32,16417,31,20148,37,Selling
2026-07-15 11:40,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,17174,32,16417,31,20148,37,Selling
2026-07-15 11:45,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,21686,31,22096,31,26859,38,Selling
2026-07-15 11:50,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,21686,31,22096,31,26859,38,Selling
2026-07-15 11:55,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,24667,29,27027,32,32525,39,Selling
2026-07-15 12:00,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,24667,29,27027,32,32525,39,Selling
2026-07-15 12:05,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,28440,30,30348,32,36419,38,Selling
2026-07-15 12:10,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,28440,30,30348,32,36419,38,Selling
2026-07-15 12:15,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,32908,30,34908,32,41784,38,Selling
2026-07-15 12:20,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,32908,30,34908,32,41784,38,Selling
2026-07-15 12:25,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,36245,30,38898,32,46327,38,Selling
2026-07-15 12:30,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,36245,30,38898,32,46327,38,Selling
2026-07-15 12:35,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,36245,30,38898,32,46327,38,Selling
2026-07-15 12:40,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,40988,30,42810,32,50780,38,Selling
2026-07-15 12:45,周三201,欧洲冠军联赛,2026-07-15,2026-07-16,比森阿泰尔,克拉克斯维克,2040513,45348,31,46620,32,54953,37,Selling
