采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-15 11:05,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,617,90,47,7,24,3,Selling
2026-07-15 11:10,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,617,90,47,7,24,3,Selling
2026-07-15 11:15,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,617,90,47,7,24,3,Selling
2026-07-15 11:20,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,2502,89,190,7,113,4,Selling
2026-07-15 11:25,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,6075,86,637,9,359,5,Selling
2026-07-15 11:30,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,6075,86,637,9,359,5,Selling
2026-07-15 11:35,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,7661,85,867,10,488,5,Selling
2026-07-15 11:40,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,7661,85,867,10,488,5,Selling
2026-07-15 11:45,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,10169,84,1198,10,687,6,Selling
2026-07-15 11:50,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,10169,84,1198,10,687,6,Selling
2026-07-15 11:55,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,12406,84,1442,10,840,6,Selling
2026-07-15 12:00,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,12406,84,1442,10,840,6,Selling
2026-07-15 12:05,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,13854,84,1618,10,946,6,Selling
2026-07-15 12:10,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,13854,84,1618,10,946,6,Selling
2026-07-15 12:15,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,15964,84,1904,10,1087,6,Selling
2026-07-15 12:20,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,15964,84,1904,10,1087,6,Selling
2026-07-15 12:25,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,17692,84,2114,10,1208,6,Selling
2026-07-15 12:30,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,17692,84,2114,10,1208,6,Selling
2026-07-15 12:35,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,17692,84,2114,10,1208,6,Selling
2026-07-15 12:40,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,19395,84,2337,10,1340,6,Selling
2026-07-15 12:45,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,21025,84,2545,10,1459,6,Selling
2026-07-15 12:50,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,21025,84,2545,10,1459,6,Selling
2026-07-15 12:55,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,21990,84,2665,10,1523,6,Selling
2026-07-15 13:00,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,21990,84,2665,10,1523,6,Selling
2026-07-15 13:05,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,23959,84,2913,10,1658,6,Selling
2026-07-15 13:10,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,23959,84,2913,10,1658,6,Selling
2026-07-15 13:15,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,25277,84,3107,10,1746,6,Selling
2026-07-15 13:20,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,25277,84,3107,10,1746,6,Selling
2026-07-15 13:25,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,26380,84,3244,10,1805,6,Selling
2026-07-15 13:30,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,26380,84,3244,10,1805,6,Selling
2026-07-15 13:35,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,27624,84,3407,10,1894,6,Selling
2026-07-15 13:40,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,27624,84,3407,10,1894,6,Selling
2026-07-15 13:45,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,28457,84,3501,10,1937,6,Selling
2026-07-15 13:50,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,28457,84,3501,10,1937,6,Selling
2026-07-15 13:55,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,30061,84,3706,10,2037,6,Selling
2026-07-15 14:00,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,30061,84,3706,10,2037,6,Selling
2026-07-15 14:05,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,30898,84,3832,10,2094,6,Selling
2026-07-15 14:10,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,30898,84,3832,10,2094,6,Selling
2026-07-15 14:15,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,32569,84,4053,10,2221,6,Selling
2026-07-15 14:20,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,32569,84,4053,10,2221,6,Selling
2026-07-15 14:25,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,33403,84,4155,10,2283,6,Selling
2026-07-15 14:30,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,33403,84,4155,10,2283,6,Selling
2026-07-15 14:35,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,34510,84,4295,10,2372,6,Selling
2026-07-15 14:40,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,34510,84,4295,10,2372,6,Selling
2026-07-15 14:45,周四210,美国职业大联盟,2026-07-16,2026-07-17,西雅图海湾人,波特兰伐木工,2040524,36292,84,4538,10,2495,6,Selling
