采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-18 11:05,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,251,90,22,8,5,2,Selling
2026-07-18 11:10,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,251,90,22,8,5,2,Selling
2026-07-18 11:15,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,3194,93,103,3,139,4,Selling
2026-07-18 11:20,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,3194,93,103,3,139,4,Selling
2026-07-18 11:25,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,5341,90,305,5,256,5,Selling
2026-07-18 11:30,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,5341,90,305,5,256,5,Selling
2026-07-18 11:35,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,7976,91,407,5,388,4,Selling
2026-07-18 11:40,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,7976,91,407,5,388,4,Selling
2026-07-18 11:45,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,9340,90,582,6,450,4,Selling
2026-07-18 11:50,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,9340,90,582,6,450,4,Selling
2026-07-18 11:55,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,12090,90,747,6,602,4,Selling
2026-07-18 12:00,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,12090,90,747,6,602,4,Selling
2026-07-18 12:05,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,14662,90,849,5,726,5,Selling
2026-07-18 12:10,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,14662,90,849,5,726,5,Selling
2026-07-18 12:15,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,16725,90,1019,5,849,5,Selling
2026-07-18 12:20,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,16725,90,1019,5,849,5,Selling
2026-07-18 12:25,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,18732,90,1107,5,952,5,Selling
2026-07-18 12:30,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,18732,90,1107,5,952,5,Selling
2026-07-18 12:35,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,18732,90,1107,5,952,5,Selling
2026-07-18 12:40,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,19967,90,1224,6,1005,4,Selling
2026-07-18 12:45,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,22349,90,1363,5,1115,5,Selling
2026-07-18 12:50,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,22349,90,1363,5,1115,5,Selling
2026-07-18 12:55,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,24712,90,1459,5,1235,5,Selling
2026-07-18 13:00,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,24712,90,1459,5,1235,5,Selling
2026-07-18 13:05,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,26517,90,1581,5,1328,5,Selling
2026-07-18 13:10,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,26517,90,1581,5,1328,5,Selling
2026-07-18 13:15,周六214,挪威超级联赛,2026-07-18,2026-07-19,维京,桑纳菲尤尔,2040559,27831,90,1687,5,1378,5,Selling
