采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-18 11:05,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,171,95,8,4,1,1,Selling
2026-07-18 11:10,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,171,95,8,4,1,1,Selling
2026-07-18 11:15,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,653,90,27,4,42,6,Selling
2026-07-18 11:20,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,653,90,27,4,42,6,Selling
2026-07-18 11:25,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,1502,91,65,4,75,5,Selling
2026-07-18 11:30,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,1502,91,65,4,75,5,Selling
2026-07-18 11:35,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,1980,90,89,4,120,6,Selling
2026-07-18 11:40,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,1980,90,89,4,120,6,Selling
2026-07-18 11:45,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,2663,91,130,4,137,5,Selling
2026-07-18 11:50,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,2663,91,130,4,137,5,Selling
2026-07-18 11:55,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,3374,90,171,5,186,5,Selling
2026-07-18 12:00,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,3374,90,171,5,186,5,Selling
2026-07-18 12:05,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,3806,90,186,4,225,6,Selling
2026-07-18 12:10,周日205,瑞典超级联赛,2026-07-19,2026-07-19,哈马比,代格福什,2040564,3806,90,186,4,225,6,Selling
