采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-15 11:05,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,860,84,100,10,61,6,Selling
2026-07-15 11:10,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,860,84,100,10,61,6,Selling
2026-07-15 11:15,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,860,84,100,10,61,6,Selling
2026-07-15 11:20,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,3380,78,531,12,418,10,Selling
2026-07-15 11:25,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,6260,76,1121,14,876,10,Selling
2026-07-15 11:30,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,6260,76,1121,14,876,10,Selling
2026-07-15 11:35,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,9231,74,1804,15,1378,11,Selling
2026-07-15 11:40,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,9231,74,1804,15,1378,11,Selling
2026-07-15 11:45,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,11551,74,2290,15,1774,11,Selling
2026-07-15 11:50,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,11551,74,2290,15,1774,11,Selling
2026-07-15 11:55,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,13079,74,2614,15,2051,11,Selling
2026-07-15 12:00,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,13079,74,2614,15,2051,11,Selling
2026-07-15 12:05,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,14896,73,2979,15,2409,12,Selling
2026-07-15 12:10,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,14896,73,2979,15,2409,12,Selling
2026-07-15 12:15,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,17178,73,3469,15,2818,12,Selling
2026-07-15 12:20,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,17178,73,3469,15,2818,12,Selling
2026-07-15 12:25,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,18772,73,3838,15,3119,12,Selling
2026-07-15 12:30,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,18772,73,3838,15,3119,12,Selling
2026-07-15 12:35,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,18772,73,3838,15,3119,12,Selling
2026-07-15 12:40,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,21060,73,4318,15,3539,12,Selling
2026-07-15 12:45,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,22970,73,4772,15,3892,12,Selling
2026-07-15 12:50,周四207,美国职业大联盟,2026-07-16,2026-07-17,蒙特利尔CF,多伦多FC,2040521,22970,73,4772,15,3892,12,Selling
