采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-15 11:05,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,1362,84,131,8,137,8,Selling
2026-07-15 11:10,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,1362,84,131,8,137,8,Selling
2026-07-15 11:15,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,1362,84,131,8,137,8,Selling
2026-07-15 11:20,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,5269,82,643,10,493,8,Selling
2026-07-15 11:25,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,12316,82,1710,11,1045,7,Selling
2026-07-15 11:30,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,12316,82,1710,11,1045,7,Selling
2026-07-15 11:35,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,15357,80,2188,11,1621,9,Selling
2026-07-15 11:40,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,15357,80,2188,11,1621,9,Selling
2026-07-15 11:45,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,20281,80,2989,12,2138,8,Selling
2026-07-15 11:50,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,20281,80,2989,12,2138,8,Selling
2026-07-15 11:55,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,24599,80,3718,12,2438,8,Selling
2026-07-15 12:00,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,24599,80,3718,12,2438,8,Selling
2026-07-15 12:05,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,27440,80,4175,12,2814,8,Selling
2026-07-15 12:10,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,27440,80,4175,12,2814,8,Selling
2026-07-15 12:15,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,31589,80,4811,12,3316,8,Selling
2026-07-15 12:20,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,31589,80,4811,12,3316,8,Selling
2026-07-15 12:25,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,34955,80,5324,12,3686,8,Selling
2026-07-15 12:30,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,34955,80,5324,12,3686,8,Selling
2026-07-15 12:35,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,34955,80,5324,12,3686,8,Selling
2026-07-15 12:40,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,38280,79,5831,12,4159,9,Selling
2026-07-15 12:45,周四201,挪威超级联赛,2026-07-16,2026-07-17,瓦勒伦加,奥勒松,2040515,41434,79,6374,12,4578,9,Selling
