采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-16 13:45,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,21,32,9,14,36,54,Selling
2026-07-16 13:50,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,21,32,9,14,36,54,Selling
2026-07-16 13:55,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,55,23,45,19,138,58,Selling
2026-07-16 14:00,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,55,23,45,19,138,58,Selling
2026-07-16 14:05,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,157,24,127,19,369,57,Selling
2026-07-16 14:10,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,157,24,127,19,369,57,Selling
2026-07-16 14:15,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,267,24,177,16,652,60,Selling
2026-07-16 14:20,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,267,24,177,16,652,60,Selling
2026-07-16 14:25,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,350,24,273,19,852,57,Selling
2026-07-16 14:30,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,350,24,273,19,852,57,Selling
2026-07-16 14:35,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,442,23,352,19,1098,58,Selling
2026-07-16 14:40,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,442,23,352,19,1098,58,Selling
2026-07-16 14:45,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,532,24,392,18,1282,58,Selling
2026-07-16 14:50,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,532,24,392,18,1282,58,Selling
2026-07-16 14:55,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,532,24,392,18,1282,58,Selling
2026-07-16 15:00,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,619,24,483,18,1512,58,Selling
2026-07-16 15:05,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,721,24,558,18,1774,58,Selling
2026-07-16 15:10,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,721,24,558,18,1774,58,Selling
2026-07-16 15:15,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,839,24,630,18,2034,58,Selling
2026-07-16 15:20,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,839,24,630,18,2034,58,Selling
2026-07-16 15:25,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,928,24,696,18,2276,58,Selling
2026-07-16 15:30,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,928,24,696,18,2276,58,Selling
2026-07-16 15:35,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,983,24,778,19,2401,57,Selling
2026-07-16 15:40,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,983,24,778,19,2401,57,Selling
2026-07-16 15:45,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1086,24,865,19,2632,57,Selling
2026-07-16 15:50,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1086,24,865,19,2632,57,Selling
2026-07-16 15:55,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1198,24,950,19,2889,57,Selling
2026-07-16 16:00,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1198,24,950,19,2889,57,Selling
2026-07-16 16:05,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1281,24,1014,19,3104,57,Selling
2026-07-16 16:10,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1281,24,1014,19,3104,57,Selling
2026-07-16 16:15,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1387,24,1097,19,3346,57,Selling
2026-07-16 16:20,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1387,24,1097,19,3346,57,Selling
2026-07-16 16:25,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1452,24,1151,19,3470,57,Selling
2026-07-16 16:30,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1452,24,1151,19,3470,57,Selling
2026-07-16 16:35,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1600,24,1235,19,3790,57,Selling
2026-07-16 16:40,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1600,24,1235,19,3790,57,Selling
2026-07-16 16:45,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1692,24,1326,19,3993,57,Selling
2026-07-16 16:50,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1692,24,1326,19,3993,57,Selling
2026-07-16 16:55,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1788,24,1399,19,4207,57,Selling
2026-07-16 17:00,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1788,24,1399,19,4207,57,Selling
2026-07-16 17:05,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1899,24,1484,19,4459,57,Selling
2026-07-16 17:10,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1899,24,1484,19,4459,57,Selling
2026-07-16 17:15,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1963,24,1524,19,4625,57,Selling
2026-07-16 17:20,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,1963,24,1524,19,4625,57,Selling
2026-07-16 17:25,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2056,24,1621,19,4841,57,Selling
2026-07-16 17:30,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2056,24,1621,19,4841,57,Selling
2026-07-16 17:35,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2156,24,1681,19,5026,57,Selling
2026-07-16 17:40,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2156,24,1681,19,5026,57,Selling
2026-07-16 17:45,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2270,24,1752,19,5295,57,Selling
2026-07-16 17:50,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2270,24,1752,19,5295,57,Selling
2026-07-16 17:55,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2336,24,1805,19,5488,57,Selling
2026-07-16 18:00,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2336,24,1805,19,5488,57,Selling
2026-07-16 18:05,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2356,24,1857,19,5523,57,Selling
2026-07-16 18:10,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2411,24,1903,19,5646,57,Selling
2026-07-16 18:15,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2474,24,1932,19,5822,57,Selling
2026-07-16 18:20,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2474,24,1932,19,5822,57,Selling
2026-07-16 18:25,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2594,24,1976,19,6030,57,Selling
2026-07-16 18:30,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2594,24,1976,19,6030,57,Selling
2026-07-16 18:35,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2676,24,2052,19,6234,57,Selling
2026-07-16 18:40,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2676,24,2052,19,6234,57,Selling
2026-07-16 18:45,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2676,24,2052,19,6234,57,Selling
2026-07-16 18:50,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2751,24,2098,19,6413,57,Selling
2026-07-16 18:55,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2751,24,2098,19,6413,57,Selling
2026-07-16 19:00,周五208,美国职业大联盟,2026-07-17,2026-07-18,洛杉矶银河,洛杉矶FC,2040539,2751,24,2098,19,6413,57,Selling
